emp_no,salary
10001,60117
10004,40054
10005,78228
10006,40000
10009,60929
10018,55881
10019,44276
10020,40000
10022,40000
10023,47883
10026,47585
10035,41538
10047,54982
10051,48817
10053,67854
10057,49616
10058,52787
10059,71218
10063,40000
10066,69736
10067,44642
10070,55999
10072,40000
10074,61714
10076,47319
10088,65957
10091,40000
10096,61395
10097,44886
10100,54398
10103,68158
10106,62928
10126,40000
10127,40000
10129,40000
10130,40000
10134,40000
10138,53574
10150,70122
10153,54246
10157,48770
10159,52881
10160,91622
10163,41603
10166,51586
10183,40000
10194,64941
10196,86671
10198,44076
10203,40000
10205,40000
10207,52783
10215,43944
10219,40000
10224,40000
10228,79474
10230,47531
10233,40000
10239,65146
10240,73874
10248,58918
10249,72192
10258,66280
10262,63005
10272,58070
10281,46123
10282,40000
10283,40000
10284,40000
10295,46398
10298,40000
10306,44229
10307,40000
10322,41968
10325,44325
10326,40000
10328,46286
10333,45141
10340,68132
10343,40000
10347,42199
10349,47518
10353,62656
10355,70434
10356,45376
10358,63243
10364,51401
10367,63565
10372,54505
10377,40000
10387,61374
10388,62545
10389,55548
10396,40393
10397,40529
10402,40000
10404,51647
10407,62565
10413,45416
10418,52224
10422,45725
10426,65757
10429,40000
10432,40000
10433,40000
10451,46275
10453,40000
10463,66480
10477,55138
10486,71692
10494,50094
10497,63707
10499,40000
10503,40000
10504,43931
10509,49292
10512,40000
10517,65330
10522,40000
10529,47840
10531,49168
10542,40000
10548,90631
10552,80483
10564,46660
10568,64356
10586,47541
10593,71435
10596,58689
10603,101271
10610,49812
10614,40000
10615,43533
10623,60268
10624,40000
10628,41650
10630,40000
10631,40000
10634,45179
10636,40904
10639,46291
10641,41785
10642,40000
10653,40000
10667,40000
10671,74037
10676,58226
10683,40000
10693,40000
10696,68913
10702,46581
10712,40000
10718,75473
10726,46315
10734,47377
10741,50265
10742,67405
10745,40000
10749,60829
10750,40000
10764,70720
10767,40651
10768,65717
10778,64996
10791,40000
10795,84206
10808,40000
10811,40000
10813,53246
10814,59378
10826,59506
10827,58322
10830,47420
10831,82330
10833,40000
10834,53869
10835,40000
10836,65502
10844,40000
10846,40000
10847,40000
10848,50475
10849,66065
10854,40000
10858,47847
10871,40000
10872,40000
10873,65835
10878,72102
10879,65651
10882,40000
10883,40000
10885,78613
10887,69570
10900,50054
10906,66204
10909,80935
10913,62428
10920,40000
10921,72601
10924,84783
10926,43219
10927,51819
10930,53785
10932,40000
10936,40000
10942,40000
10943,45890
10944,42872
10947,43068
10949,58253
10956,40000
10965,61654
10969,40000
10974,56005
10986,43900
10987,46108
10988,54174
10989,46406
10990,40000
10996,43564
11004,40226
11009,75111
11012,72092
11019,69387
11021,62670
11027,40000
11031,71654
11032,40000
11037,40000
11038,44993
11042,40000
11048,65697
11050,52251
11051,40000
11056,79354
11061,81257
11064,48411
11066,53496
11070,40000
11071,40000
11075,76877
11079,46239
11081,65686
11083,90972
11084,52121
11085,66437
11087,78081
11089,41004
11091,76253
11092,78588
11098,40000
11100,40000
11106,71446
11111,49777
11112,40000
11113,66401
11121,40000
11130,43172
11132,40000
11133,40000
11134,58731
11137,40000
11139,63596
11143,63264
11144,56144
11146,96019
11147,40000
11148,56344
11158,40000
11162,69873
11168,72944
11170,44531
11174,45806
11177,40000
11180,40000
11181,40000
11185,40000
11186,40000
11189,71798
11192,40000
11197,88741
11201,49454
11204,40000
11207,49728
11208,83660
11211,72668
11213,40000
11217,40000
11229,48214
11232,43863
11233,46070
11240,61739
11243,47598
11249,43324
11251,69432
11253,40000
11254,50562
11258,40000
11266,40000
11267,65990
11268,40000
11274,40000
11275,58382
11289,40000
11290,65034
11292,40000
11294,43768
11295,66622
11296,40000
11301,40000
11317,40000
11319,40000
11320,45118
11322,43021
11324,54288
11325,62458
11326,40000
11338,82210
11339,40000
11340,48813
11343,43306
11347,41524
11349,46356
11360,63466
11365,56463
11373,45912
11376,46964
11380,53345
11385,40000
11386,47726
11393,40000
11396,48918
11398,44625
11401,52021
11404,42907
11406,71834
11410,45665
11415,40000
11417,74114
11418,40000
11420,40000
11421,52416
11423,43947
11425,40000
11441,67352
11446,40000
11449,61434
11451,61848
11452,52083
11459,40000
11460,45712
11469,44625
11474,59016
11476,56449
11479,78157
11503,56928
11506,89747
11509,40000
11513,82525
11515,70182
11518,40000
11519,61444
11523,64203
11524,41081
11527,60212
11528,44026
11531,53370
11533,40000
11537,96023
11540,70043
11554,46065
11555,40000
11567,86261
11568,54673
11573,46194
11575,50896
11577,40000
11581,46950
11587,40000
11589,58444
11595,68224
11596,54076
11602,58575
11603,69180
11606,40000
11607,49584
11615,46591
11616,41900
11624,42001
11628,43966
11640,52520
11641,53327
11644,80722
11646,55411
11647,40000
11649,40000
11660,65758
11664,70380
11667,79814
11673,40000
11676,43310
11681,40000
11684,68753
11690,44420
11693,70403
11696,51633
11713,53387
11732,40000
11733,46092
11735,40000
11736,44127
11737,48832
11746,55951
11748,54491
11751,40000
11756,59493
11763,40000
11764,64875
11765,40000
11769,40000
11770,40000
11772,61295
11774,40000
11778,40000
11779,40000
